odp_id,model_id,publication_date,training_cutoff_date,cutoff_confidence,feasibility_label
odp-001,llama2-70b,2025-01-15,2022-09-30,high,plausible_unseen
odp-001,bloom-176b,2025-01-15,2022-07-01,high,plausible_unseen
odp-001,gpt-3.5-turbo,2025-01-15,2021-09-01,medium,plausible_unseen
odp-001,deepseek-llm-67b,2025-01-15,2023-03-01,medium,plausible_unseen
odp-001,claude-3-haiku,2025-01-15,2023-08-01,low,plausible_unseen
odp-002,llama2-70b,2024-06-20,2022-09-30,high,plausible_unseen
odp-002,bloom-176b,2024-06-20,2022-07-01,high,plausible_unseen
odp-002,gpt-3.5-turbo,2024-06-20,2021-09-01,medium,plausible_unseen
odp-002,deepseek-llm-67b,2024-06-20,2023-03-01,medium,plausible_unseen
odp-002,claude-3-haiku,2024-06-20,2023-08-01,low,plausible_unseen
odp-003,llama2-70b,2024-10-10,2022-09-30,high,plausible_unseen
odp-003,bloom-176b,2024-10-10,2022-07-01,high,plausible_unseen
odp-003,gpt-3.5-turbo,2024-10-10,2021-09-01,medium,plausible_unseen
odp-003,deepseek-llm-67b,2024-10-10,2023-03-01,medium,plausible_unseen
odp-003,claude-3-haiku,2024-10-10,2023-08-01,low,plausible_unseen
odp-004,llama2-70b,2023-11-30,2022-09-30,high,plausible_unseen
odp-004,bloom-176b,2023-11-30,2022-07-01,high,plausible_unseen
odp-004,gpt-3.5-turbo,2023-11-30,2021-09-01,medium,plausible_unseen
odp-004,deepseek-llm-67b,2023-11-30,2023-03-01,medium,plausible_unseen
odp-004,claude-3-haiku,2023-11-30,2023-08-01,low,plausible_unseen
